"","Number","Name","Nation","Pos","Club","Age","Born","MP","Starts","Min","90s","Gls","Ast","PK","CrdY","CrdR","xG","npxG","xA","Note"
"152",150,"Florian Grillitsch","AUT","CM","Hoffenheim",25,1995,11,8,633,7,2,0,0,3,1,1.4,1.4,1,NA
"153",151,"Christian Groß","GER","DM","Werder",31,1989,13,10,883,9.8,0,1,0,4,0,0.2,0.2,0.5,3.75
"154",152,"Ilia Gruev","BUL","FW","Werder",20,2000,1,0,1,0,0,0,0,0,0,0,0,0,NA
"155",153,"Carlos Gruezo","ECU","DM","Augsburg",25,1995,18,16,1389,15.4,0,0,0,3,0,0.2,0.2,0.5,3.97
"156",154,"Mattéo Guendouzi","FRA","CM","Hertha",21,1999,14,13,1202,13.4,2,0,0,3,0,0.6,0.6,0.3,3.54
"157",155,"Raphaël Guerreiro","POR","WB","Dortmund",27,1993,16,14,1235,13.7,2,7,0,1,0,2.1,2.1,4.4,3.36
"158",156,"Josuha Guilavogui","FRA","DM","Wolfsburg",30,1990,11,6,551,6.1,0,0,0,2,0,0.1,0.1,0.1,NA
"159",157,"Péter Gulácsi","HUN","GK","Leipzig",30,1990,19,19,1710,19,0,0,0,0,0,0,0,0,3
"160",158,"Manuel Gulde","GER","CB","Freiburg",29,1991,15,13,1112,12.4,1,0,0,2,0,0.9,0.9,0,3.35
"161",159,"Robert Gumny","POL","FB","Augsburg",22,1998,11,4,417,4.6,0,0,0,2,0,0.2,0.2,0,NA
"162",160,"Christian Günter","GER","WB","Freiburg",27,1993,19,19,1710,19,0,2,0,0,0,0.5,0.5,3.2,3.24
"163",161,"Janik Haberer","GER","CM","Freiburg",26,1994,4,2,175,1.9,0,0,0,0,0,0.2,0.2,0,NA
"164",162,"Alexander Hack","GER","CB","Mainz",27,1993,12,11,984,10.9,1,0,0,1,0,0.2,0.2,0.4,3.68
"165",163,"André Hahn","GER","W","Augsburg",30,1990,15,11,874,9.7,4,1,0,1,0,2.3,2.3,0.4,3.77
"166",164,"Amadou Haidara","MLI","DM","Leipzig",23,1998,17,12,1024,11.4,1,1,0,2,0,2.7,2.7,1,3.38
"167",165,"Erling Haaland","NOR","FW","Dortmund",20,2000,14,13,1181,13.1,14,2,1,2,0,11.6,10,2.6,2.82
"168",166,"Marcel Halstenberg","GER","CB","Leipzig",29,1991,13,11,955,10.6,2,1,1,2,0,1.3,0.5,0.5,3.33
"169",167,"Amine Harit","MAR","AM","Schalke",23,1997,14,12,953,10.6,1,5,0,2,0,0.5,0.5,3.2,4.54
"170",168,"Marcel Hartel","GER","CM","Arminia",25,1996,19,19,1596,17.7,0,0,0,1,0,0.9,0.9,1.1,4.18
"171",169,"Makoto Hasebe","JPN","DM","Eintracht",37,1984,15,15,1276,14.2,0,0,0,4,0,0.2,0.2,0,3.27
"172",170,"Thorgan Hazard","BEL","FW","Dortmund",27,1993,5,2,165,1.8,1,0,0,0,0,0.3,0.3,0,NA
"173",171,"Jonas Hector","GER","CM","Koeln",30,1990,9,6,513,5.7,0,0,0,2,0,0.3,0.3,0.2,NA
"174",172,"Hwang Hee-chan","KOR","W","Leipzig",25,1996,7,0,142,1.6,0,0,0,1,0,0.4,0.4,0,NA
"175",173,"Dominique Heintz","GER","CB","Freiburg",27,1993,11,8,743,8.3,0,0,0,1,0,0.2,0.2,0.1,NA
"176",174,"Benjamin Henrichs","GER","FB","Leipzig",23,1997,7,3,348,3.9,0,0,0,1,0,0.1,0.1,0.2,NA
"177",175,"Lucas Hernández","FRA","CB","Bayern",24,1996,11,9,789,8.8,0,1,0,1,0,0.7,0.7,0.4,NA
"178",176,"Patrick Herrmann","GER","W","Moenchengladbach",29,1991,18,8,742,8.2,0,2,0,2,0,2.4,2.4,1.2,NA
"179",177,"Martin Hinteregger","AUT","CB","Eintracht",28,1992,19,19,1672,18.6,1,1,0,1,0,1,1,0.4,3.37
"180",178,"Marwin Hitz","SUI","GK","Dortmund",33,1987,3,3,270,3,0,0,0,0,0,0,0,0,NA
"181",179,"Nicolas Höfler","GER","DM","Freiburg",30,1990,18,17,1559,17.3,1,2,0,5,0,0.8,0.8,0.9,3.69
"182",180,"Jonas Hofmann","GER","AM","Moenchengladbach",28,1992,13,12,1064,11.8,4,8,2,1,0,3.5,2,3.1,2.88
"183",181,"Marco Höger","GER","DM","Koeln",31,1989,2,1,50,0.6,0,0,0,0,0,0,0,0,NA
"184",182,"Lucas Höler","GER","FW","Freiburg",26,1994,19,12,1154,12.8,2,2,0,3,0,4.5,4.5,1.9,3.66
"185",183,"Matthew Hoppe","USA","FW","Schalke",19,2001,9,7,604,6.7,5,0,0,2,0,2.4,2.4,0.3,NA
"186",184,"Jannes Horn","GER","WB","Koeln",23,1997,17,13,1145,12.7,0,0,0,4,0,0,0,1,4.11
"187",185,"Timo Horn","GER","GK","Koeln",27,1993,19,19,1659,18.4,0,0,0,0,0,0,0,0,3.08
"188",186,"Lukáš Hrádecký","FIN","GK","Leverkusen",31,1989,19,19,1710,19,0,0,0,1,0,0,0,0,2.89
"189",187,"Ajdin Hrustic","AUS","AM","Eintracht",24,1996,5,0,81,0.9,0,0,0,0,0,0,0,0.3,NA
"190",188,"Florian Hübner","GER","CB","Union",29,1991,5,5,435,4.8,0,0,0,2,0,0.1,0.1,0,NA
"191",189,"Mats Hummels","GER","CB","Dortmund",32,1988,19,19,1699,18.9,3,0,0,3,0,2.4,2.4,0.6,3.08
"192",190,"Klaas-Jan Huntelaar","NED","FW","Schalke",37,1983,1,0,11,0.1,0,0,0,1,0,0,0,0,NA
"193",191,"Iago","BRA","FB","Augsburg",23,1997,14,14,1208,13.4,1,1,0,2,0,0.8,0.8,0.8,3.57
"194",192,"Vedad Ibiševiæ","BIH","FW","Schalke",36,1984,4,1,156,1.7,0,0,0,1,0,0.5,0.5,0,NA
"195",193,"Stefan Ilsanker","AUT","DM","Eintracht",31,1989,15,9,828,9.2,1,0,0,3,0,0.5,0.5,0.1,NA
"196",194,"Marcus Ingvartsen","DEN","AM","Union",25,1996,15,13,1068,11.9,2,4,0,3,0,2.4,1.6,1,3.79
"197",195,"Ismail Jakobs","GER","WB","Koeln",21,1999,13,11,1005,11.2,0,0,0,3,0,1.6,1.6,0.8,4
"198",196,"Tony Jantschke","GER","CB","Moenchengladbach",30,1990,5,2,166,1.8,0,0,0,0,0,0.2,0.2,0,NA
"199",197,"Rune Jarstein","NOR","GK","Hertha",36,1984,1,1,90,1,0,0,0,0,0,0,0,0,NA
"200",198,"Tin Jedvaj","CRO","CB","Leverkusen",25,1995,1,0,17,0.2,0,0,0,0,0,0,0,0,NA
"201",199,"Fredrik Jensen","FIN","W","Augsburg",23,1997,8,1,235,2.6,0,0,0,0,0,0.1,0.1,0.5,NA
"202",200,"Marco John","GER","WB","Hoffenheim",18,2002,5,5,450,5,0,0,0,1,0,0.2,0.2,0.1,NA
"203",201,"Luka Joviæ","SRB","FW","Eintracht",23,1997,4,0,109,1.2,3,0,0,1,0,0.6,0.6,0.3,NA
"204",202,"Ozan Kabak","TUR","CB","Schalke",20,2000,14,14,1243,13.8,0,0,0,6,1,1,1,0.2,4.75
"205",203,"Pavel Kadeøábek","CZE","WB","Hoffenheim",28,1992,5,3,319,3.5,0,0,0,1,0,0.8,0.8,0.5,NA
"206",204,"Sasa Kalajdzic","AUT","FW","Stuttgart",23,1997,18,9,873,9.7,6,3,0,1,0,3.5,3.5,2.1,3.29
"207",205,"Daichi Kamada","JPN","AM","Eintracht",24,1996,18,15,1275,14.2,2,6,0,2,0,3,3,5.3,3.41
"208",206,"Marcin Kamiñski","POL","CB","Stuttgart",29,1992,3,1,123,1.4,0,0,0,0,0,0,0,0,NA
"209",207,"Kevin Kampl","SVN","CM","Leipzig",30,1990,16,15,1126,12.5,0,0,0,4,0,0.9,0.9,1.2,3.4
"210",208,"Atakan Karazor","GER","CB","Stuttgart",24,1996,7,4,389,4.3,0,0,0,1,0,0.1,0.1,0,NA
"211",209,"Loris Karius","GER","GK","Union",27,1993,1,0,22,0.2,0,0,0,0,0,0,0,0,NA
"212",210,"Noah Katterbach","GER","FB","Koeln",19,2001,11,6,573,6.4,0,0,0,0,0,0.1,0.1,0.4,NA
"213",211,"Yannik Keitel","GER","CM","Freiburg",20,2000,3,0,66,0.7,0,0,0,1,0,0.1,0.1,0,NA
"214",212,"Marc-Oliver Kempf","GER","CB","Stuttgart",26,1995,19,19,1634,18.2,2,0,0,2,0,1.1,1.1,0.4,3.32
"215",213,"Rani Khedira","GER","CM","Augsburg",27,1994,16,13,1001,11.1,0,0,0,4,0,0.6,0.6,0.1,3.96
"216",214,"Luca Kilian","GER","CB","Mainz",21,1999,6,4,381,4.2,0,0,0,1,0,0,0,0,NA
"217",215,"Joshua Kimmich","GER","CM","Bayern",25,1995,13,12,1007,11.2,2,10,0,3,0,1.7,1.7,4.4,2.54
"218",216,"Davy Klaassen","NED","CM","Werder",27,1993,3,3,222,2.5,0,0,0,1,0,0.1,0.1,0,NA
"219",217,"Felix Klaus","GER","W","Wolfsburg",28,1992,6,1,137,1.5,0,0,0,0,0,0,0,0,NA
"220",218,"Klauss","BRA","FW","Hoffenheim",23,1997,4,0,51,0.6,0,0,0,0,0,0.1,0.1,0.3,NA
"221",219,"Philipp Klement","GER","AM","Stuttgart",28,1992,13,0,217,2.4,0,2,0,0,0,0.2,0.2,1.1,NA
"222",220,"Mateo Klimowicz","ARG","AM","Stuttgart",20,2000,16,8,786,8.7,1,1,0,1,0,3.4,3.4,1,3.68
"223",221,"Fabian Klos","GER","FW","Arminia",33,1987,19,19,1630,18.1,3,2,0,2,0,3.8,3.8,2.6,4.21
"224",222,"Lukas Klostermann","GER","CB","Leipzig",24,1996,9,5,490,5.4,0,0,0,1,0,0.4,0.4,0.4,NA
"225",223,"Justin Kluivert","NED","W","Leipzig",21,1999,9,3,344,3.8,1,0,0,1,0,1.6,1.6,0.6,NA
"226",224,"Lukas Klünter","GER","FB","Hertha",24,1996,1,1,90,1,0,0,0,0,0,0,0,0,NA
"227",225,"Robin Knoche","GER","CB","Union",28,1992,19,19,1710,19,1,0,0,2,0,0.3,0.3,0,3.47
"228",226,"Gregor Kobel","SUI","GK","Stuttgart",23,1997,19,19,1710,19,0,0,0,0,0,0,0,0,2.89
"229",227,"Dominik Kohr","GER","CM","Eintracht",27,1994,7,2,260,2.9,0,0,0,1,0,0.5,0.5,0,NA
"230",227,"Dominik Kohr","GER","CM","Mainz",27,1994,3,2,197,2.2,0,0,0,1,0,0.1,0.1,0,NA
"231",228,"Sead Kolašinac","BIH","FB","Schalke",27,1993,4,4,341,3.8,0,0,0,0,0,0.2,0.2,0.2,NA
"232",229,"Ibrahima Konaté","FRA","CB","Leipzig",21,1999,6,4,376,4.2,1,0,0,0,0,0.4,0.4,0,NA
"233",230,"Filip Kostiæ","SRB","WB","Eintracht",28,1992,15,14,1185,13.2,1,4,0,1,0,2.2,2.2,2.7,3.08
"234",231,"Nianzou Kouassi","FRA","CB","Bayern",18,2002,1,0,22,0.2,0,0,0,0,0,0,0,0,NA
"235",232,"Andrej Kramariæ","CRO","FW","Hoffenheim",29,1991,15,15,1323,14.7,13,2,5,2,0,10.8,7,2.6,2.6
"236",233,"Christoph Kramer","GER","CM","Moenchengladbach",29,1991,18,16,1383,15.4,0,0,0,2,0,0.1,0.1,0.4,3.41
"237",234,"Max Kruse","GER","AM","Union",32,1988,10,8,723,8,6,5,3,0,0,3.8,0.7,2.6,NA
"238",235,"Lukas Kübler","GER","FB","Freiburg",28,1992,10,5,446,5,0,1,0,2,0,0.1,0.1,0.3,NA
"239",236,"Pierre Kunde","CMR","CM","Mainz",25,1995,11,6,513,5.7,0,0,0,1,0,0.1,0.1,0.9,NA
"240",237,"Fabian Kunze","GER","CM","Arminia",22,1998,14,7,740,8.2,0,0,0,3,0,0.4,0.4,0.1,NA
"241",238,"Ahmed Kutucu","TUR","FW","Schalke",20,2000,7,0,108,1.2,0,0,0,1,0,0.3,0.3,0,NA
"242",239,"Maxence Lacroix","FRA","CB","Wolfsburg",20,2000,17,16,1453,16.1,0,1,0,4,0,0.7,0.7,0.2,3
"243",240,"Stefan Lainer","AUT","FB","Moenchengladbach",28,1992,19,17,1523,16.9,1,0,0,2,0,0.9,0.9,1.1,3.24
"244",241,"Michael Langer","AUT","GK","Schalke",36,1985,1,1,90,1,0,0,0,0,0,0,0,0,NA
"245",242,"Danny Latza","GER","CM","Mainz",31,1989,16,14,1170,13,0,2,0,6,0,1.2,1.2,1.9,3.96
"246",243,"Valentino Lazaro","AUT","WB","Moenchengladbach",24,1996,8,3,379,4.2,1,0,0,2,0,0.1,0.1,0.2,NA
"247",244,"Mathew Leckie","AUS","W","Hertha",30,1991,10,1,188,2.1,0,1,0,0,0,0,0,0.5,NA
"248",245,"Christopher Lenz","GER","WB","Union",26,1994,18,18,1579,17.5,0,3,0,2,0,0.6,0.6,1.4,3.31
"249",246,"Robert Lewandowski","POL","FW","Bayern",32,1988,18,17,1501,16.7,24,6,5,2,0,15.3,11.5,2.6,2.53
"250",247,"Philipp Lienhart","AUT","CB","Freiburg",24,1996,19,19,1710,19,3,0,0,2,0,1.4,1.4,0.2,3.32
"251",248,"Dimitris Limnios","GRE","W","Koeln",22,1998,8,2,333,3.7,0,0,0,0,0,0.5,0.5,0.5,NA
"252",249,"Eduard Löwen","GER","DM","Hertha",24,1997,5,0,35,0.4,0,0,0,0,0,0,0,0,NA
"253",250,"Jan Luca Schuler","GER","FW","Schalke",21,1999,1,0,10,0.1,0,0,0,0,0,0.1,0.1,0,NA
"254",251,"Anderson Lucoqui","ANG","FB","Arminia",23,1997,12,9,819,9.1,0,0,0,2,0,0,0,0,NA
"255",252,"Kilian Ludewig","GER","FB","Schalke",20,2000,6,6,520,5.8,0,0,0,1,0,0,0,0.3,NA
"256",253,"Dodi Lukebakio","BEL","W","Hertha",23,1997,18,15,1298,14.4,3,3,0,1,0,4.1,4.1,1.5,3.97
"257",254,"Andreas Luthe","GER","GK","Union",33,1987,19,19,1688,18.8,0,0,0,1,0,0,0,0,3.16
"258",255,"Tim Maciejewski","GER","CM","Union",19,2001,1,0,8,0.1,0,0,0,0,0,0,0,0,NA
"259",256,"Arne Maier","GER","CM","Arminia",22,1999,5,2,108,1.2,0,0,0,0,0,0,0,0.1,NA
"260",256,"Arne Maier","GER","CM","Hertha",22,1999,2,0,30,0.3,0,0,0,0,0,0,0,0.2,NA
"261",257,"Yunus Malli","TUR","AM","Wolfsburg",28,1992,1,1,58,0.6,0,0,0,0,0,0,0,0.1,NA
"262",258,"Orel Mangala","BEL","CM","Stuttgart",22,1998,18,18,1616,18,1,3,0,3,0,1.2,1.2,1.5,3.28
"263",259,"Omar Marmoush","EGY","FW","Wolfsburg",21,1999,1,0,1,0,0,0,0,0,0,0,0,0,NA
"264",260,"Aarón Martín","ESP","FB","Mainz",23,1997,5,3,262,2.9,0,0,0,0,0,0,0,0.4,NA
"265",261,"Javi Martínez","ESP","DM","Bayern",32,1988,10,3,278,3.1,0,0,0,0,0,0.3,0.3,0.2,NA
"266",262,"Omar Mascarell","ESP","DM","Schalke",28,1993,15,14,1142,12.7,1,1,0,3,0,0.3,0.3,0.4,4.04
"267",263,"Roberto Massimo","GER","WB","Stuttgart",20,2000,10,1,301,3.3,0,0,0,1,0,1,1,0.9,NA
"268",264,"Jean-Philippe Mateta","FRA","FW","Mainz",23,1997,15,12,997,11.1,7,1,1,2,0,7.4,6.7,1.5,3.92
"269",265,"Rabbi Matondo"," WAL","W","Schalke",20,2000,3,3,220,2.4,0,0,0,0,0,0,0,0.1,NA
"270",266,"Konstantinos Mavropanos","GRE","CB","Stuttgart",23,1997,8,6,454,5,0,0,0,3,0,0.8,0.8,0.2,NA
"271",267,"Eric Maxim Choupo-Moting","CMR","FW","Bayern",31,1989,9,1,156,1.7,0,0,0,2,0,0.5,0.5,0.6,NA
"272",268,"Kevin Mbabu","SUI","FB","Wolfsburg",25,1995,8,5,522,5.8,0,1,0,1,0,0,0,0.4,NA
"273",269,"Jean-Manuel Mbom","GER","DM","Werder",20,2000,16,13,1031,11.5,0,1,0,7,0,0.4,0.4,0.4,4.11
"274",270,"Nathan de Medina","BEL","FB","Arminia",23,1997,7,6,422,4.7,0,1,0,3,0,0,0,0.1,NA
"275",271,"Joshua Mees","GER","W","Union",24,1996,1,0,5,0.1,0,0,0,0,0,0.1,0.1,0,NA
"276",272,"Admir Mehmedi","SUI","W","Wolfsburg",29,1991,12,6,583,6.5,0,2,0,0,0,0.6,0.6,1.4,NA
"277",273,"Hamza Mendyl","MAR","FB","Schalke",23,1997,3,1,95,1.1,0,0,0,1,0,0.1,0.1,0,NA
"278",274,"Jorge Meré","ESP","CB","Koeln",23,1997,7,5,503,5.6,0,0,0,1,0,0,0,0.1,NA
"279",275,"Thomas Meunier","BEL","WB","Dortmund",29,1991,14,14,1163,12.9,1,1,0,1,0,0.9,0.9,1.5,3.79
"280",276,"Max Meyer","GER","CM","Koeln",25,1995,1,0,1,0,0,0,0,0,0,0.2,0.2,0,NA
"281",277,"Maximilian Mittelstädt","GER","WB","Hertha",23,1997,16,11,977,10.9,0,2,0,2,0,0.3,0.3,1.8,4.25
"282",278,"Anthony Modeste","FRA","FW","Koeln",32,1988,8,1,221,2.5,0,0,0,1,0,1.8,1,0,NA
"283",279,"Kevin Möhwald","GER","CM","Werder",27,1993,13,7,735,8.2,3,0,0,2,1,0.5,0.5,0.3,3.35
"284",280,"Niklas Moisander","FIN","CB","Werder",35,1985,9,4,457,5.1,0,0,0,0,0,0,0,0,NA
"285",281,"Alkhaly Momo Cissé","GUI","CB","Stuttgart",18,2002,1,0,13,0.1,0,0,0,0,0,0,0,0,NA
"286",282,"Mateu Morey","ESP","FB","Dortmund",20,2000,7,5,449,5,0,0,0,1,0,0.1,0.1,0.3,NA
"287",283,"Youssoufa Moukoko","GER","FW","Dortmund",16,2004,9,2,300,3.3,1,0,0,0,0,2.1,2.1,0,NA
"288",284,"Nordi Mukiele","FRA","CB","Leipzig",23,1997,15,13,949,10.5,1,1,0,3,0,1.5,1.5,1.1,3.35
"289",285,"Florian Müller","GER","GK","Freiburg",23,1997,19,19,1710,19,0,0,0,0,0,0,0,0,2.84
"290",286,"Sebastian Müller","GER","FW","Arminia",20,2001,2,0,4,0,0,0,0,0,0,0,0,0,NA
"291",287,"Thomas Müller","GER","AM","Bayern",31,1989,19,19,1653,18.4,10,9,1,0,0,5.1,4.3,7,2.89
"292",288,"Jamal Musiala"," ENG","W","Bayern",17,2003,15,2,410,4.6,3,0,0,0,0,1.2,1.2,0.1,NA
"293",289,"Phillipp Mwene","AUT","FB","Mainz",27,1994,6,6,494,5.5,0,0,0,1,0,0.1,0.1,0,NA
"294",290,"Obite N'Dicka","FRA","CB","Eintracht",21,1999,10,10,900,10,0,1,0,4,0,0.3,0.3,0.3,3.1
"295",291,"Matija Nastasiæ","SRB","CB","Schalke",27,1993,14,13,1131,12.6,0,0,0,2,0,0.3,0.3,0,4.31
"296",292,"Paul Nebel","GER","W","Mainz",18,2002,4,0,51,0.6,0,0,0,0,0,0,0,0,NA
"297",293,"Luca Netz","GER","FB","Hertha",17,2003,6,2,195,2.2,0,0,0,0,0,0,0,0.1,NA
"298",294,"Manuel Neuer","GER","GK","Bayern",34,1986,19,19,1710,19,0,0,0,1,0,0,0,0,2.63
"299",295,"Florian Neuhaus","GER","CM","Moenchengladbach",23,1997,18,16,1363,15.1,3,4,0,7,0,1.4,1.4,1.3,3.08
"300",296,"Jessic Ngankam","GER","FW","Hertha",20,2000,11,0,123,1.4,1,0,0,1,0,0.2,0.2,0,NA
"301",297,"Moussa Niakhate","FRA","CB","Mainz",24,1996,17,17,1516,16.8,2,0,0,10,1,1.2,1.2,0.4,3.97
"302",298,"Florian Niederlechner","GER","FW","Augsburg",30,1990,17,13,1057,11.7,2,3,0,2,1,3.3,3.3,2,4.12
"303",299,"Joakim Nilsson","SWE","CB","Arminia",26,1994,10,9,812,9,0,0,0,1,0,0.1,0.1,0,NA
